Drug,Target(Gene Name),Target(Gene Symbol),Active Indication(Indication Name),Originator Organization,Drug Highest Phase,Drug Approved Country/Location,Approval Date
PM-CD3-GEX,CD3 + MUC1,"CD3E, MUC1",Non-Small Cell Lung Cancer | Ovarian Cancer,Glycotope GmbH,"Preclinical, IND Application",-,-
PRS-342,4-1BB + GPC3,"TNFRSF9, GPC3",Neoplasms,"Pieris Pharmaceuticals, Inc.","Preclinical, IND Application",-,-
"PT-302(Phanes Therapeutics, Inc.)",LAG3 + TIM3,"LAG3, HAVCR2",Solid tumor,"Phanes Therapeutics, Inc.","Preclinical, IND Application",-,-
PT-819,CD3 + DLL3,"CD3E, DLL3",Small Cell Lung Cancer,"Phanes Therapeutics, Inc.","Preclinical, IND Application",-,-
PT796,CD47 + FOLR1,"CD47, FOLR1",Ovarian Epithelial Carcinoma,"Phanes Therapeutics, Inc.","Preclinical, IND Application",-,-
QL-315,CD3 + LRRC15,"CD3E, LRRC15",Neoplasms,"Qlsf Biotherapeutic, Inc.","Preclinical, IND Application",-,-
REMD-511,CTLA4 + PD-1,"CTLA4, PDCD1",Solid tumor,"REMD Biotherapeutics, Inc.","Preclinical, IND Application",-,-
REMD-642,CXCR4 + PDL1,"CXCR4, CD274",Solid tumor,"REMD Biotherapeutics, Inc.","Preclinical, IND Application",-,-
REMD-813,LAG3 + PD-1,"LAG3, PDCD1",Solid tumor,"REMD Biotherapeutics, Inc.","Preclinical, IND Application",-,-
RG6353,CD3ε + HLA-G,"CD3e, HLA-G",Solid tumor,Shanghai Roche Pharmaceuticals Ltd.,"Preclinical, IND Application",-,-
ROR1 x CD3 DART,CD3 + ROR1,"CD3E, ROR1",Neoplasms,"MacroGenics, Inc.","Preclinical, IND Application",-,-
SBT-100,KRAS + STAT3,"KRAS, STAT3",Solid tumor,Singh Biotechnology LLC,"Preclinical, IND Application",-,-
SCR-8572,BCMA + CD30 + GPRC5D,"TNFRSF17, TNFRSF8, GPRC5D",Multiple Myeloma,Simcere Pharmaceutical Group Limited,"Preclinical, IND Application",-,-
SCR-9171,CD3 + MUC17,"CD3E, MUC17",Muc17 positive Stomach Cancer,Simcere Pharmaceutical Group Limited,"Preclinical, IND Application",-,-
SHR-1812,CD276 + CD3,"CD276, CD3E",Neoplasms,"Shanghai Hengrui Pharmaceutical Co., Ltd.","Preclinical, IND Application",-,-
Siglec-6/CD3 targeted bispecific antibody(OSU),CD3 + Siglec-6,"CD3E, SIGLEC6",Lymphoid Leukemia,The Ohio State University,"Preclinical, IND Application",-,-
SIRPα-PDL1,PDL1 + SIRP,"CD274, -",Neoplasms,"Shandong Fontacea Pharmaceutical Co., Ltd","Preclinical, IND Application",-,-
SLD2435,CD112R + TIGIT,"PVRIG, TIGIT",Neoplasms,Simcere Pharmaceutical Group Limited,"Preclinical, IND Application",-,-
SMTE-001,CD3 + MSLN,"CD3E, MSLN",Neoplasms,Simcere Pharmaceutical Group Limited,"Preclinical, IND Application",-,-
SPX-301,CLDN18.2 + PDL1,"CLDN18, CD274",Neoplasms,"SparX Therapeutics, Inc.","Preclinical, IND Application",-,-
SRB-21,HER2 + HER3,"ERBB2, ERBB3",Neoplasms,Sunrock Biopharma SL,"Preclinical, IND Application",-,-
SRB19,EGFR + HER3,"EGFR, ERBB3",Squamous Cell Carcinoma of Head and Neck | Triple Negative Breast Cancer,Sunrock Biopharma SL,"Preclinical, IND Application",-,-
STL001,CD138 + CD3,"SDC1, CD3E",Multiple Myeloma,Medical College of Soochow University,"Preclinical, IND Application",-,-
T-903,PDL1 + TIGIT,"CD274, TIGIT",Solid tumor,"FutureGen Biopharmaceutical (Beijing) Co., Ltd","Preclinical, IND Application",-,-
TATX-200,CD3 + TrkB,"CD3E, NTRK2",Neoplasms,Talem Therapeutics LLC.,"Preclinical, IND Application",-,-
TJ-C4GM,CD47 + CSF-3R,"CD47, CSF3R",Solid tumor,"I-Mab Biopharma (Shanghai) Co., Ltd.","Preclinical, IND Application",-,-
TJ-C64B,4-1BB + CLDN6,"TNFRSF9, CLDN6",Neoplasms,"I-MAB Biopharma Co., Ltd.","Preclinical, IND Application",-,-
TJ-L1D5,CD73 + PDL1,"NT5E, CD274",Neoplasms,"I-Mab Biopharma (Shanghai) Co., Ltd.","Preclinical, IND Application",-,-
TR0304,LAG3 + PDL1,"LAG3, CD274",Neoplasms,"Università degli Studi di Napoli Federico II | Chiome Bioscience, Inc.","Preclinical, IND Application",-,-
TR0506,LAG3 + PDL1,"LAG3, CD274",Neoplasms,"Università degli Studi di Napoli Federico II | Chiome Bioscience, Inc.","Preclinical, IND Application",-,-
TRB805,CD47 + SIRPα,"CD47, SIRPA",Hematologic Neoplasms,Trican Biotechnology,"Preclinical, IND Application",-,-
TRB805-01,CD47 + SIRPα,"CD47, SIRPA",Neoplasms,Trican Biotechnology,"Preclinical, IND Application",-,-
TRJ-E84,CMV protein + EGFR,"-, EGFR",Colonic Cancer,Trojan Bio Ltd.,"Preclinical, IND Application",-,-
TRJ-T75,CMV protein + Trop-2,"-, TACSTD2",Triple Negative Breast Cancer,Trojan Bio Ltd.,"Preclinical, IND Application",-,-
Trop-2 x CD3 Bi-Specific Antibody,CD3 + Trop-2,"CD3E, TACSTD2",Solid tumor,"iBio, Inc.","Preclinical, IND Application",-,-
TROP2 XPAT,CD3 + Trop-2,"CD3E, TACSTD2",Solid tumor,"Amunix, Inc.","Preclinical, IND Application",-,-
TROP2-TRACTr,CD3 + Trop-2,"CD3E, TACSTD2",Neoplasms,"Janux Therapeutics, Inc.","Preclinical, IND Application",-,-
Trop2/CD3 bispecific antibody(Arbele),CD3 + Trop-2,"CD3E, TACSTD2",Colorectal Cancer | Pancreatic Cancer | Stomach Cancer,Arbele Corp.,"Preclinical, IND Application",-,-
Trophoblast antigen 2 tumour activated T-cell engager therapy (Janux Therapeutics/Merck & Co),CD3 + Trop-2,"CD3E, TACSTD2",Solid tumor,"Janux Therapeutics, Inc.","Preclinical, IND Application",-,-
TSR-075,LAG3 + PD-1,"LAG3, PDCD1",Neoplasms,"AnaptysBio, Inc. | Tesaro, Inc.","Preclinical, IND Application",-,-
TST-006,CLDN18.2 + PDL1,"CLDN18, CD274",Neoplasms,"MabSpace Biosciences (Suzhou) Co., Ltd.","Preclinical, IND Application",-,-
TXB4-BC1,CD20 + TfR1,"MS4A1, TFRC",Primary Central Nervous System Lymphoma,"Ossianix, Inc.","Preclinical, IND Application",-,-
TYRP1-TCB,CD3 + TYRP1,"CD3E, TYRP1",Melanoma,Roche Holding AG,"Preclinical, IND Application",-,-
V2-U scDb,CD3 + Ras,-,Neoplasms,The Johns Hopkins University,"Preclinical, IND Application",-,-
VB-611,CD3 + MOSPD2,"CD3E, MOSPD2",Solid tumor,Vascular Biogenics Ltd.,"Preclinical, IND Application",-,-
VBI-001,CD38 + ICAM-1,"CD38, ICAM1",Hematologic Neoplasms,"Virtuoso Therapeutics, Inc.","Preclinical, IND Application",-,-
VBI-002,CD47 + ICAM-1,"CD47, ICAM1",Hepatocellular Carcinoma | Melanoma | Non-Small Cell Lung Cancer,"Virtuoso Therapeutics, Inc.","Preclinical, IND Application",-,-
VBI-003,CD47 + EpCAM,"CD47, EPCAM",Colorectal Cancer | Small Cell Lung Cancer,"Virtuoso Therapeutics, Inc.","Preclinical, IND Application",-,-
VBI-009,CD276 + CD47,"CD276, CD47",Neoplasms,"Virtuoso Therapeutics, Inc.","Preclinical, IND Application",-,-
VTX-002 (Venn Therapeutics),TGF-β + αvβ6,-,Neoplasms,Venn Therapeutics LLC,"Preclinical, IND Application",-,-
WM-202,CD3 + MAGEA4,"CD3E, MAGEA4",Melanoma,"Chongqing Genrix Biopharmaceutical Co., Ltd.","Preclinical, IND Application",-,-
XB-628,NKG2A + PDL1,"KLRC1, CD274",Neoplasms,"Exelixis, Inc.","Preclinical, IND Application",-,-
XmAb13677,CD20 + CD3,"MS4A1, CD3E",B-Cell Leukemia,"Xencor, Inc.","Preclinical, IND Application",-,-
XmAb30819,CD3 + ENPP3,"CD3E, ENPP3",Renal Cell Carcinoma,"Xencor, Inc.","Preclinical, IND Application",-,-
XmAb541,CD3 + CLDN6,"CD3E, CLDN6",Ovarian Cancer,"Xencor, Inc.","Preclinical, IND Application",-,-
YBL-008,PDL1 + VEGF-A,"CD274, VEGFA",Neoplasms,"YBiologics, Inc.","Preclinical, IND Application",-,-
YBL-009,PDL1 + TGF-β,"CD274, -",Neoplasms,"YBiologics, Inc.","Preclinical, IND Application",-,-
YBL-013,CD3 + PDL1,"CD3E, CD274",Neoplasms,"YBiologics, Inc.","Preclinical, IND Application",-,-
YBL-016,IL-10 + PDL1,"IL10, CD274",Neoplasms,"YBiologics, Inc.","Preclinical, IND Application",-,-
YBL-017,CD3 + DLK1,"CD3E, DLK1",Neoplasms,"YBiologics, Inc.","Preclinical, IND Application",-,-
YBL-018,CD276 + CD3,"CD276, CD3E",Neoplasms,"YBiologics, Inc.","Preclinical, IND Application",-,-
YBL-020,LAG3 + PDL1,"LAG3, CD274",Neoplasms,"YBiologics, Inc.","Preclinical, IND Application",-,-
YBL-031,CD20 + CD3,"MS4A1, CD3E",B-Cell Lymphoma,"YBiologics, Inc.","Preclinical, IND Application",-,-
YBL-032,CD3 + EGFR,"CD3E, EGFR",Neoplasms,"YBiologics, Inc.","Preclinical, IND Application",-,-
YH-013,EGFR + c-Met,"EGFR, MET",Neoplasms | Solid tumor,"Biocytogen Pharmaceuticals (Beijing) Co., Ltd.","Preclinical, IND Application",-,-
YH012,HER2 + Trop-2,"ERBB2, TACSTD2",Neoplasms | Solid tumor,Youhe Medical Technology (Beijing) Co. Ltd.,"Preclinical, IND Application",-,-
ZW-171,CD3 + MSLN,"CD3E, MSLN",Ovarian Cancer | Pancreatic Cancer | Solid tumor,"Zymeworks BC, Inc.","Preclinical, IND Application",-,-
7D10-PAT-DX1,BAK + DNA,"BAK1, -",Breast Cancer,Patrys Ltd.,"Preclinical, IND Application",-,-
anti-CD3/CD20 bispecific antibody,CD20 + CD3,"MS4A1, CD3E",Neoplasms,"Jiangsu Hengrui Pharmaceuticals Co., Ltd.","Preclinical, IND Application",-,-
anti-CEA/CD3 antibody (Jiangsu hengrui),CD3 + CEA,-,Neoplasms,"Jiangsu Hengrui Pharmaceuticals Co., Ltd.","Preclinical, IND Application",-,-
Anti-CLDN18.2/CD3 bispecific antibody,CD3 + CLDN18.2,-,Neoplasms,"Shanghai Junshi Biosciences Co., Ltd.","Preclinical, IND Application",-,-
anti-HGFR/EGFR antibody (Jiangsu hengrui),EGFR + c-Met,"EGFR, MET",Neoplasms,"Jiangsu Hengrui Pharmaceuticals Co., Ltd.","Preclinical, IND Application",-,-
anti-PD1/PDL1 antibody (Jiangsu Hengrui),PD-1 + PDL1,"PDCD1, CD274",Neoplasms,"Jiangsu Hengrui Pharmaceuticals Co., Ltd.","Preclinical, IND Application",-,-
anti-PD1/TGFβ antibody (Jiangsu hengrui),PD-1 + TGF-β,"PDCD1, -",Neoplasms,"Jiangsu Hengrui Pharmaceuticals Co., Ltd.","Preclinical, IND Application",-,-
anti-PDL1/4-1BB antibody (Jiangsu hengrui),4-1BB + PDL1,"TNFRSF9, CD274",Neoplasms,"Jiangsu Hengrui Pharmaceuticals Co., Ltd.","Preclinical, IND Application",-,-
anti-RANKL/NGF antibody (Jiangsu hengrui),NGF + RANKL,"-, TNFSF11",Neoplasms,"Jiangsu Hengrui Pharmaceuticals Co., Ltd.","Preclinical, IND Application",-,-
anti-VEGF/Ang2 antibody (Jiangsu hengrui),Ang2 + VEGF,"ANGPT2, VEGFA",Neoplasms,"Jiangsu Hengrui Pharmaceuticals Co., Ltd.","Preclinical, IND Application",-,-
anti-VEGF/PDGF antibody (Jiangsu hengrui),PDGF + VEGF-A,"-, VEGFA",Neoplasms,"Jiangsu Hengrui Pharmaceuticals Co., Ltd.","Preclinical, IND Application",-,-
APL-801,CD40 + PDL1,"CD40, CD274",Neoplasms,Zhejiang Crownmab Biotech Co. Ltd.,"Preclinical, IND Application",-,-
B7H3 x NKG2D NKE,CD276 + NKG2D,"CD276, KLRK1",Neoplasms,"Xencor, Inc.","Preclinical, IND Application",-,-
BP-1212,CD39 + TIM3,"ENTPD1, HAVCR2",Neoplasms,"BrightPath Biotherapeutics Co., Ltd.","Preclinical, IND Application",-,-
C-21-7D12,CD16a + EGFR,"FCGR3A, EGFR",Colorectal Cancer,Vrije Universiteit Amsterdam,"Preclinical, IND Application",-,-
CB-693,4-1BB + MSLN,"TNFRSF9, MSLN",-,Crescendo Biologics Ltd.,"Preclinical, IND Application",-,-
CD137/FAP bispecific agonist antibody(Boehringer Ingelheim International GmbH),4-1BB + FAP,"TNFRSF9, FAP",-,Boehringer Ingelheim International GmbH,"Preclinical, IND Application",-,-
DM-002 (Xadcera Biopharma),HER3 + MUC1,"ERBB3, MUC1",Neoplasms,"Xadcera Biopharmaceutical (Suzhou) Co., Ltd.","Preclinical, IND Application",-,-
EX-109,CD3 + MUC17,"CD3E, MUC17",Gastroesophageal junction adenocarcinoma | Stomach Cancer,"Excelmab, Inc.","Preclinical, IND Application",-,-
FmAb-2,EGFR + TGFBR2,"EGFR, TGFBR2",Neoplasms,Biocon Ltd.,"Preclinical, IND Application",-,-
HK-006,4-1BB + HER2,"TNFRSF9, ERBB2",Neoplasms,HankeMab,"Preclinical, IND Application",-,-
IDC-001,CTHRC1 + ZG16B,"CTHRC1, ZG16B",Ovarian Epithelial Carcinoma | Pancreatic Cancer,Prestige BioPharma Ltd.,"Preclinical, IND Application",-,-
IDC-004,VEGF-A + ZG16B,"VEGFA, ZG16B",Ovarian Epithelial Carcinoma | Pancreatic Cancer,Prestige BioPharma Ltd.,"Preclinical, IND Application",-,-
IDC-005,CTHRC1 + VEGF,"CTHRC1, VEGFA",Solid tumor,Prestige BioPharma Ltd.,"Preclinical, IND Application",-,-
IMM 2547,CD24 + PDL1,"CD24, CD274",Solid tumor,"ImmuneOnco Biopharmaceuticals (Shanghai) Co., Ltd.","Preclinical, IND Application",-,-
LAE111,LILRB1 + LILRB2,"LILRB1, LILRB2",Neoplasms,"Laekna Therapeutics (Shanghai) Co., Ltd.","Preclinical, IND Application",-,-
LAE113,CD112R + TIGIT,"PVRIG, TIGIT",Neoplasms,"Laekna Therapeutics (Shanghai) Co., Ltd.","Preclinical, IND Application",-,-
MBS-302,PDL1 + TGF-β,"CD274, -",Non-Small Cell Lung Cancer | Stomach Cancer,"Beijing Mabworks Biotech Co., Ltd.","Preclinical, IND Application",-,-
MBS-305,BCMA + CD3,"TNFRSF17, CD3E",Multiple Myeloma,"Beijing Mabworks Biotech Co., Ltd.","Preclinical, IND Application",-,-
MEDI-1109,OX40 + PDL1,"TNFRSF4, CD274",Neoplasms,MedImmune LLC,"Preclinical, IND Application",-,-
NILK-3801,CD28 + GPC3,"CD28, GPC3",Solid tumor,LamKap Bio beta AG,"Preclinical, IND Application",-,-
Novotarg,CD20 + FasR,"MS4A1, FAS",B-Cell Malignant Neoplasm,Baliopharm AG,"Preclinical, IND Application",-,-
PT-790,CD3 + FOLR1,"CD3E, FOLR1",Ovarian Cancer,"Phanes Therapeutics, Inc.","Preclinical, IND Application",-,-
PT-880,CD3 + CLDN18.2,-,Pancreatic Cancer | Stomach Cancer,"Phanes Therapeutics, Inc.","Preclinical, IND Application",-,-
"ROR1/CD3 bispecific monoclonal antibody(Shandong Boan Biological Technology Co., Ltd.)",CD3 + ROR1,"CD3E, ROR1",-,"Shandong Boan Biotechnology Co., Ltd.","Preclinical, IND Application",-,-
SNS-201,CD28 + VISTA,"CD28, VSIR",Solid tumor,"Panacea Pharmaceuticals, Inc.","Preclinical, IND Application",-,-
SON-3015,IL-6 + TGF-β,"IL6, -",Bone metastases,"Sonnet BioTherapeutics, Inc.","Preclinical, IND Application",-,-
TransJoin,CD19 + CD3,"CD19, CD3E",Lymphoma,Nationwide Children's Hospital,"Preclinical, IND Application",-,-
Tumour associated antigen targeting bispecific antibody(PersonGen Biotherapeutics),CTLA4 + c-Met,"CTLA4, MET",Neoplasms,PersonGen BioTherapeutics (Suzhou) Co. Ltd,"Preclinical, IND Application",-,-
XB-014,CD47 + PDL1,"CD47, CD274",Neoplasms,"Invenra, Inc.","Preclinical, IND Application",-,-
YH-010,IL-12 + PDL1,"-, CD274",Solid tumor,Youhe Medical Technology (Beijing) Co. Ltd.,"Preclinical, IND Application",-,-
JNJ-63709178,CD123 + CD3,"IL3RA, CD3E",-,Janssen Research & Development LLC,Discontinued/ Pending,-,-
A300E-BiTE,ADAM17 + CD3,"ADAM17, CD3E",-,University of Kiel,Discontinued/ Pending,-,-
ABBV-184,CD3 + survivin,"CD3E, BIRC5",-,"AbbVie, Inc.",Discontinued/ Pending,-,-
ABP-120,CD20 + CD3,"MS4A1, CD3E",-,Abpro Corp.,Discontinued/ Pending,-,-
ABP-140,CD3 + CD38,"CD3E, CD38",-,Abpro Corp.,Discontinued/ Pending,-,-
ABP-160,CD47 + PDL1,"CD47, CD274",-,Abpro Corp.,Discontinued/ Pending,-,-
AFM-11,CD19 + CD3,"CD19, CD3E",-,Affimed GmbH,Discontinued/ Pending,-,-
AFM12,CD16a + CD19,"FCGR3A, CD19",-,Affimed GmbH,Discontinued/ Pending,-,-
AMG-330,CD3 + CD33,"CD3E, CD33",-,"Amgen, Inc.",Discontinued/ Pending,-,-
AMG-427 (Amgen),CD3 + FLT3,"CD3E, FLT3",-,"Amgen, Inc.",Discontinued/ Pending,-,-
AMG-910,CD3 + CLDN18,"CD3E, CLDN18",-,"Amgen, Inc.",Discontinued/ Pending,-,-
Anti-CD3/anti-CD20 bispecific antibody-armed activated T-cells(National Cancer Institute),CD20 + CD3,"MS4A1, CD3E",-,National Cancer Institute,Discontinued/ Pending,-,-
"Anti-CD64-anti-CD30 bispecific monoclonal antibody(Medarex, Inc.)",CD30 + CD64,"TNFRSF8, FCGR1A",-,"Medarex, Inc.",Discontinued/ Pending,-,-
Anti-CD79b/CD3 bispecific antibody(Innovent Biologics),CD3 + CD79B,"CD3E, CD79b",-,"Innovent Biologics, Inc.",Discontinued/ Pending,-,-
Anti-IL-12/IL-18 DVD-Ig (AbbVie),IL-12 + IL-18,"-, IL18",-,Abbott Laboratories Ltd.,Discontinued/ Pending,-,-
APVO-210,CD86 + IL-10R,"CD86, -",-,"Aptevo Therapeutics, Inc.",Discontinued/ Pending,-,-
ATG-027,CD276 + PDL1,"CD276, CD274",-,"Antengene Corporation Co., Ltd.",Discontinued/ Pending,-,-
AZ-17,IL-23p19 + IL-6,"IL23A, IL6",-,"Allozyne, Inc.",Discontinued/ Pending,-,-
B728,PDL1 + TIGIT,"CD274, TIGIT",-,"FutureGen Biopharmaceutical (Beijing) Co., Ltd",Discontinued/ Pending,-,-
bH1,HER2 + VEGF,"ERBB2, VEGFA",-,"Genentech, Inc.",Discontinued/ Pending,-,-
BI-905677,LRP5 + LRP6,"LRP5, LRP6",-,Boehringer Ingelheim GmbH,Discontinued/ Pending,-,-
Bispecific monoclonal antibody 2B1,FcRIII + HER2,"-, ERBB2",-,Chiron Corp.,Discontinued/ Pending,-,-
Briakinumab,IL-12 + IL-23,-,-,Cambridge Antibody Technology,Discontinued/ Pending,-,-
BSI-507,CD112R + PD-1,"PVRIG, PDCD1",-,"Biosion, Inc.",Discontinued/ Pending,-,-
BSI-508,CD47 + PD-1,"CD47, PDCD1",-,"Biosion, Inc.",Discontinued/ Pending,-,-
CD19/CD3,CD19 + CD3,"CD19, CD3E",-,"Wuhan YZY Biopharma Co., Ltd.",Discontinued/ Pending,-,-
CTM-041,5T4 + CD40,"TPBG, CD40",-,"Lepu Biopharma Co., Ltd.",Discontinued/ Pending,-,-
CTX-4419,BCMA + NCR3,"TNFRSF17, NCR3",-,Compass Therapeutics LLC,Discontinued/ Pending,-,-
DIG-KT,Tie-2 + VEGFR2,"TEK, KDR",-,"OncoC4, Inc. | 3SBio, Inc.",Discontinued/ Pending,-,-
"Duligotuzumab(Genentech, Inc.)",EGFR + HER3,"EGFR, ERBB3",-,"Genentech, Inc.",Discontinued/ Pending,-,-
EI-04,EGFR + IGF-1R,"EGFR, IGF1R",-,"Biogen, Inc.",Discontinued/ Pending,-,-
Emerfetamab,CD3 + CD33,"CD3E, CD33",-,"Amgen, Inc.",Discontinued/ Pending,-,-
Ertumaxomab,CD3 + HER2,"CD3E, ERBB2",-,Trion Pharma GmbH,Discontinued/ Pending,-,-
EX-102,CD19 + CD3,"CD19, CD3E",-,"Excelmab, Inc.",Discontinued/ Pending,-,-
EX-110,CD3 + DLL3,"CD3E, DLL3",-,"Excelmab, Inc.",Discontinued/ Pending,-,-
F6-734,CEA + DTPA,-,-,"Akeso Biopharma Co., Ltd.",Discontinued/ Pending,-,-
FAP-DR5,DR5 + FAP,"TNFRSF10B, FAP",-,"Millennium Pharmaceuticals, Inc.",Discontinued/ Pending,-,-
FBTA-05,CD20 + CD3,"MS4A1, CD3E",-,TRION Research GmbH,Discontinued/ Pending,-,-
GBR-1302,CD3 + HER2,"CD3E, ERBB2",-,Glenmark Pharmaceuticals Ltd.,Discontinued/ Pending,-,-
hMN14-734,CEA + DTPA,-,-,"Akeso Biopharma Co., Ltd.",Discontinued/ Pending,-,-
IDM-1,CD64 + HER2,"FCGR1A, ERBB2",-,"Takeda Pharmaceutical Co., Ltd.",Discontinued/ Pending,-,-
Istiratumab,HER3 + IGF-1R,"ERBB3, IGF1R",-,"Merrimack Pharmaceuticals, Inc.",Discontinued/ Pending,-,-
KN-027,PDGFR + VEGFR,-,-,"Suzhou Alphamab Co., Ltd.",Discontinued/ Pending,-,-
MDX-210,CD64 + HER2,"FCGR1A, ERBB2",-,"Takeda Pharmaceutical Co., Ltd.",Discontinued/ Pending,-,-
MDX-214,CD89 + EGFR,"FCAR, EGFR",-,"Medarex, Inc.",Discontinued/ Pending,-,-
MDX-220,FcRn + TAG-72,"FCGRT, -",-,National Cancer Institute,Discontinued/ Pending,-,-
MDX-240,CD64 + gp41,"FCGR1A, -",-,"Medarex, Inc.",Discontinued/ Pending,-,-
MDX-H210,CD64 + HER2,"FCGR1A, ERBB2",-,"Medarex, Inc.",Discontinued/ Pending,-,-
MEDI-565,CD3 + CEA,-,-,"Amgen, Inc.",Discontinued/ Pending,-,-
MM-111,HER2 + HER3,"ERBB2, ERBB3",-,"Merrimack Pharmaceuticals, Inc.",Discontinued/ Pending,-,-
Monoclonal antibody BIS-1,CD3 + EpCAM,"CD3E, EPCAM",-,University of Groningen,Discontinued/ Pending,-,-
MOR-209/ES414,CD3 + PSMA,"CD3E, FOLH1",-,"Emergent BioSolutions, Inc.",Discontinued/ Pending,-,-
MP-ENDOS-1959,LGALS3BP + TEM1,"LGALS3BP, CD248",-,MediaPharma Srl,Discontinued/ Pending,-,-
ND-003,CD3 + IL-5Rα,"CD3E, IL5RA",-,Numab Innovation AG,Discontinued/ Pending,-,-
Ori--A362,4-1BB + CLDN18.2,"TNFRSF9, CLDN18",-,"OriCell Therapeutics Co.,Ltd.",Discontinued/ Pending,-,-
Ori--A610,PDL1 + TIGIT,"CD274, TIGIT",-,"OriCell Therapeutics Co.,Ltd.",Discontinued/ Pending,-,-
Ori-A364,CLDN18.2 + PDL1,"CLDN18, CD274",-,"OriCell Therapeutics Co.,Ltd.",Discontinued/ Pending,-,-
Ori-Ab-008,PDL1 + TIGIT,"CD274, TIGIT",-,"OriCell Therapeutics Co.,Ltd.",Discontinued/ Pending,-,-
Pacanalotamab,BCMA + CD3,"TNFRSF17, CD3E",-,Micromet AG,Discontinued/ Pending,-,-
Pavurutamab,BCMA + CD3,"TNFRSF17, CD3E",-,"Amgen, Inc.",Discontinued/ Pending,-,-
PF-07260437,B7-H4 + CD3,"VTCN1, CD3E",-,Pfizer Inc.,Discontinued/ Pending,-,-
PF-5057459,Ang2 + VEGF-A,"ANGPT2, VEGFA",-,Pfizer Inc.,Discontinued/ Pending,-,-
PF-6671008,CD3 + CDH3,"CD3E, CDH3",-,"MacroGenics, Inc.",Discontinued/ Pending,-,-
PM-1043,4-1BB + HER2,"TNFRSF9, ERBB2",-,"Pumis Biotechnology (Zhuhai) Co., Ltd.",Discontinued/ Pending,-,-
PMC-404,Ang2 + VEGF-C,"ANGPT2, VEGFC",-,PharmAbcine Inc.,Discontinued/ Pending,-,-
Remtolumab,IL-17A + TNF-α,"IL17A, -",-,"AbbVie, Inc.",Discontinued/ Pending,-,-
RG-6007,CD3 + WT1,"CD3E, WT1",-,Roche Holding AG,Discontinued/ Pending,-,-
RO-7444973,CD3 + MAGEA4,"CD3E, MAGEA4",-,Roche Holding AG,Discontinued/ Pending,-,-
SCT-B03,CTLA4 + OX40,"CTLA4, TNFRSF4",-,Sinocelltech Group Ltd.,Discontinued/ Pending,-,-
SCT-B07,PDL1 + TGF-β,"CD274, -",-,Sinocelltech Group Ltd.,Discontinued/ Pending,-,-
Solitumomab,CD3 + EpCAM,"CD3E, EPCAM",-,Micromet AG,Discontinued/ Pending,-,-
SRB-18,HER3 + TRAIL,"ERBB3, TNFSF10",-,Sunrock Biopharma SL,Discontinued/ Pending,-,-
"Tidutamab(Xencor, Inc.)",CD3 + SSTR2,"CD3E, SSTR2",-,"Xencor, Inc.",Discontinued/ Pending,-,-
TJ-L1C4,CD47 + PDL1,"CD47, CD274",-,"I-Mab Biopharma (Shanghai) Co., Ltd.",Discontinued/ Pending,-,-
TJ-L1H3,CD276 + PDL1,"CD276, CD274",-,"I-Mab Biopharma (Shanghai) Co., Ltd.",Discontinued/ Pending,-,-
TJ-L1I7,IL-7 + PDL1,"IL7, CD274",-,"I-Mab Biopharma (Shanghai) Co., Ltd.",Discontinued/ Pending,-,-
UniTI-101,CCR2 + M-CSF,"CCR2, CSF1",-,"Marengo Therapeutics, Inc.",Discontinued/ Pending,-,-
XmAb13243,CD3 + CD38,"CD3E, CD38",-,"Xencor, Inc.",Discontinued/ Pending,-,-
XmAb13551,CD3 + CD38,"CD3E, CD38",-,"Amgen, Inc. | Xencor, Inc.",Discontinued/ Pending,-,-
Y-111,CD3 + PDL1,"CD3E, CD274",-,"Wuhan YZY Biopharma Co., Ltd.",Discontinued/ Pending,-,-
Y151,BCMA + CD3,"TNFRSF17, CD3E",-,"Wuhan YZY Biopharma Co., Ltd.",Discontinued/ Pending,-,-
Y160,CD3 + CLDN18.2,-,-,"Wuhan YZY Biopharma Co., Ltd.",Discontinued/ Pending,-,-
YBL-027,PDL1 + TIGIT,"CD274, TIGIT",-,"YBiologics, Inc.",Discontinued/ Pending,-,-
1BiMAB (Ganymed Pharmaceuticals AG),CD3 + CLDN18,"CD3E, CLDN18",-,Ganymed Pharmaceuticals AG,Discontinued/ Pending,-,-
3D-057,CD3 + PDL1,"CD3E, CD274",-,3D Medicines (Shanghai) Co Ltd,Discontinued/ Pending,-,-
5T4-5T4-CD3,5T4 + CD3,"TPBG, CD3E",-,Biotecnol Ltd.,Discontinued/ Pending,-,-
6PHU3 (BioNTech SE),CD3 + CLDN6,"CD3E, CLDN6",-,BioNTech SE,Discontinued/ Pending,-,-
ABBV-428,CD40 + MSLN,"CD40, MSLN",-,"AbbVie, Inc.",Discontinued/ Pending,-,-
AFM-15,CD3 + albumin,"CD3E, ALB",-,Affimed GmbH,Discontinued/ Pending,-,-
AMG-966,TNF-α + VEGI,"-, TNFSF15",-,"Amgen, Inc.",Discontinued/ Pending,-,-
AMG-CDH19X,CD3 + CDH19,"CD3E, CDH19",-,Micromet AG,Discontinued/ Pending,-,-
Anti-CD28/anti-HMV-MAA bispecific antibody(Eberhard Karls Universitat Tubingen),CD28 + HMV-MAA,"CD28, -",-,Eberhard Karls Universität Tübingen,Discontinued/ Pending,-,-
